
 num     #instances         #bytes  class name
 126:            39           1872  java.nio.HeapCharBuffer
 127:            57           1824  com.intellij.util.containers.ConcurrentIntObjectHashMap$Node
 128:            74           1776  sun.nio.fs.WindowsPathParser$Result
 129:            36           1728  gnu.trove.THashMap
 130:            14           1696  [Z
 131:            53           1696  java.io.FilePermission
 132:            42           1680  java.io.ObjectStreamField
 133:            16           1664  java.lang.invoke.InnerClassLambdaMetafactory
 134:            66           1584  java.security.Provider$ServiceKey
 135:             1           1568  [[B
 136:            49           1568  com.sun.org.apache.xerces.internal.xni.QName
 137:            48           1536  java.util.stream.FindOps$FindOp
 138:            27           1512  java.security.Provider$Service
 139:            47           1504  java.security.Permissions
 140:            92           1480  [Ljava.nio.file.LinkOption;
 141:            22           1408  java.nio.DirectByteBuffer
 142:            35           1400  com.intellij.util.containers.ConcurrentIntKeyWeakValueHashMap$MyRef
 143:            25           1400  jdk.internal.org.objectweb.asm.AnnotationWriter
 144:            58           1392  java.util.Collections$UnmodifiableRandomAccessList
 145:             1           1376  [Lsun.misc.FDBigInteger;
 146:            85           1360  sun.nio.ch.FileDispatcherImpl
 147:            33           1320  com.intellij.util.containers.SLRUMap
 148:            54           1296  java.util.zip.ZStreamRef
 149:            80           1280  java.util.concurrent.atomic.AtomicReferenceArray
 150:            39           1248  java.io.DataInputStream
 151:            31           1240  java.util.HashMap$KeyIterator
 152:            38           1216  java.lang.invoke.BoundMethodHandle$Species_L
 153:            50           1200  java.util.Arrays$ArrayList
 154:            30           1200  sun.nio.fs.WindowsException
 155:            73           1168  [Ljava.nio.file.AccessMode;
 156:            36           1152  java.util.concurrent.locks.ReentrantLock$NonfairSync
 157:            48           1152  java.util.stream.FindOps$FindSink$OfRef
 158:            48           1152  java.util.stream.ReferencePipeline$2$1
 159:            18           1152  sun.nio.fs.WindowsFileAttributes
 160:             2           1136  io.netty.util.internal.shaded.org.jctools.queues.atomic.MpscUnboundedAtomicArrayQueue
 161:            70           1120  com.intellij.openapi.diagnostic.Log4jBasedLogger
 162:            46           1104  java.io.FilePermissionCollection
 163:            45           1080  java.util.jar.Manifest
 164:             2           1064  [Ljava.lang.Integer;
 165:            44           1056  java.lang.invoke.MethodHandles$Lookup
 166:             1           1040  [Ljava.lang.Byte;
 167:             1           1040  [Ljava.lang.Long;
 168:             1           1040  [Ljava.lang.Short;
 169:            25           1000  java.security.AccessControlContext
 170:            30            960  java.security.Provider$EngineDescription
 171:            17            952  java.lang.invoke.LambdaFormEditor$Transform
 172:            23            920  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
 173:            38            912  java.util.Collections$1
 174:            19            912  sun.nio.fs.WindowsDirectoryStream
 175:            28            896  io.netty.channel.ChannelOption
 176:             7            880  [Ljava.beans.MethodDescriptor;
 177:            22            880  java.nio.file.NoSuchFileException
 178:             9            864  com.intellij.util.io.IntToIntBtree
 179:             9            864  com.intellij.util.io.PersistentBTreeEnumerator
 180:             6            864  io.netty.buffer.PoolArena$DirectArena
 181:             6            864  io.netty.buffer.PoolArena$HeapArena
 182:            35            840  java.util.Collections$SingletonList
 183:            21            840  sun.util.locale.BaseLocale$Key
 184:             1            832  [Lcom.sun.org.apache.xerces.internal.util.SymbolTable$Entry;
 185:            31            832  [Ljava.nio.file.OpenOption;
 186:            52            832  [Ljava.security.Principal;
 187:            52            832  java.security.ProtectionDomain$Key
 188:            26            832  org.jetbrains.jps.model.library.impl.JpsLibraryRootImpl
 189:            25            800  java.io.FileInputStream
 190:            25            800  java.util.ArrayList$Itr
 191:             8            768  com.intellij.util.io.PersistentHashMap
 192:            32            768  io.netty.util.internal.logging.Log4JLogger
 193:            48            768  org.jetbrains.jps.incremental.relativizer.JavaSdkPathRelativizer$$Lambda$45/963110412
 194:            47            752  java.util.Optional
 195:            31            744  java.util.Collections$UnmodifiableCollection$1
 196:            23            736  java.lang.invoke.SimpleMethodHandle
 197:            46            736  java.util.jar.Attributes
 198:             5            720  [Lcom.intellij.util.containers.ConcurrentIntObjectHashMap$Node;
 199:            30            720  com.intellij.openapi.util.Key
 200:            18            720  com.intellij.util.io.ResizeableMappedFile
 201:            10            720  java.util.regex.Pattern
 202:            18            720  sun.misc.Cleaner
 203:             8            704  com.intellij.util.io.PersistentHashMapValueStorage
 204:            17            680  com.intellij.util.containers.hash.LinkedHashMap$Entry
 205:            28            672  java.lang.Class$MethodArray
 206:            28            672  java.security.Provider$UString
 207:            14            672  java.util.Hashtable
 208:            21            672  java.util.Locale
 209:             7            672  sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry
 210:            21            672  sun.util.locale.BaseLocale
 211:            27            648  sun.net.www.MessageHeader
 212:            20            640  sun.nio.ch.ChannelInputStream
 213:             3            624  [Ljava.lang.invoke.LambdaForm;
 214:            13            624  sun.nio.cs.StreamDecoder
 215:             7            616  sun.net.www.protocol.jar.JarURLConnection
 216:            19            608  java.lang.ThreadLocal$ThreadLocalMap$Entry
 217:            19            608  sun.nio.fs.WindowsNativeDispatcher$FirstFile
 218:            25            600  sun.reflect.generics.tree.SimpleClassTypeSignature
 219:             8            576  com.intellij.util.io.PersistentHashMapValueStorage$MyCompressedAppendableFile
 220:            36            576  java.util.concurrent.atomic.AtomicInteger
 221:            36            576  java.util.concurrent.locks.ReentrantLock
 222:            35            560  java.nio.channels.spi.AbstractInterruptibleChannel$1
 223:            10            560  sun.invoke.util.Wrapper
 224:            10            560  sun.nio.cs.UTF_16BE$Decoder
 225:            17            544  jdk.internal.org.objectweb.asm.Type
 226:             1            528  [Ljava.lang.Character;
